frame,timestamp,robot_detected,robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,robot_px,robot_py,num_anchors,anchors_detected,num_detections,anchor_11_x_median,anchor_11_y_median,anchor_12_x_median,anchor_12_y_median,anchor_13_x_median,anchor_13_y_median,anchor_14_x_median,anchor_14_y_median
93,3.0994,1,-0.006632,-0.027687,1.266874,0.05,1.13,35.41,1907.68,1006.66,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
94,3.1327,1,-0.001439,-0.038164,1.267545,-2.96,-2.42,36.21,1918.04,985.80,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
95,3.1660,1,0.003194,-0.047823,1.263571,0.52,-7.13,37.59,1927.27,966.27,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
96,3.1994,1,0.007316,-0.057538,1.271046,1.03,-1.90,39.92,1935.42,947.52,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
97,3.2327,1,0.011316,-0.065825,1.268473,-0.04,-3.17,41.96,1943.71,930.59,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
98,3.2660,1,0.015184,-0.073570,1.271077,2.20,-1.72,45.23,1951.18,915.50,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
99,3.2993,1,0.018975,-0.079818,1.261177,1.28,9.23,50.34,1958.87,901.76,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
100,3.3327,1,0.024271,-0.085685,1.269972,6.29,4.68,56.38,1969.39,891.49,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
101,3.3660,1,0.030466,-0.088565,1.257192,5.02,10.21,63.13,1982.08,883.74,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
102,3.3993,1,0.039506,-0.090334,1.263087,-1.24,-13.95,69.52,1999.66,881.00,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
103,3.4326,1,0.049832,-0.089787,1.263833,-5.38,-7.31,78.28,2020.59,882.29,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
104,3.4660,1,0.060726,-0.086390,1.259133,7.16,5.39,87.80,2042.65,888.56,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
105,3.4993,1,0.072960,-0.081909,1.267119,2.56,-2.49,94.94,2066.46,898.39,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
106,3.5326,1,0.084574,-0.075184,1.265582,1.21,-1.88,102.37,2089.85,911.61,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
107,3.5659,1,0.095651,-0.067219,1.267130,0.42,-3.93,108.50,2111.65,927.83,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
108,3.5993,1,0.104872,-0.058198,1.258923,-6.49,0.41,113.43,2131.52,945.03,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
109,3.6326,1,0.114597,-0.050054,1.268314,-3.06,-2.80,117.02,2149.01,962.16,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
110,3.6659,1,0.122922,-0.042185,1.274655,1.26,-0.96,119.02,2164.33,978.26,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
111,3.6993,1,0.129765,-0.034865,1.275978,2.67,-2.62,119.29,2177.81,992.74,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
112,3.7326,1,0.135458,-0.028681,1.272161,-2.50,-6.60,118.62,2189.68,1004.93,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
113,3.7659,1,0.141263,-0.024063,1.271088,3.41,-10.03,116.11,2201.39,1014.08,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
114,3.7992,1,0.153744,-0.019410,1.261254,-2.52,0.78,108.69,2228.73,1022.91,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
115,3.8326,1,0.154884,-0.019538,1.271357,5.15,-2.13,108.60,2228.64,1022.87,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
116,3.8659,1,0.161339,-0.018574,1.257494,-2.93,-1.61,104.57,2244.91,1024.58,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
117,3.8992,1,0.171192,-0.019196,1.258543,4.99,2.83,100.36,2264.29,1023.31,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
118,3.9325,1,0.182541,-0.021355,1.259887,9.93,0.05,94.61,2286.64,1019.06,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
119,3.9659,1,0.194027,-0.024728,1.256208,1.73,-0.48,88.86,2310.80,1012.13,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
120,3.9992,1,0.206208,-0.029720,1.256613,7.60,0.86,83.59,2335.39,1001.86,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
121,4.0325,1,0.218241,-0.035429,1.257372,6.78,2.82,78.93,2359.23,990.42,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
122,4.0658,1,0.227106,-0.041522,1.244341,2.09,8.53,75.65,2381.70,977.37,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
123,4.0992,1,0.238246,-0.048419,1.247749,1.55,8.39,72.93,2403.00,963.72,4,"[11, 12, 13, 14]",6,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
124,4.1325,1,0.247231,-0.055087,1.243658,-0.57,10.38,71.48,2422.84,949.79,4,"[11, 12, 13, 14]",5,1142.31,2071.98,3123.54,2074.55,3139.84,79.54,1137.80,124.87
